"Kanji","Meaning_JP","Meaning_EN","Meaning_ES","Meaning_FR","Meaning_DE","Meaning_IT","Meaning_TL","Meaning_PT","Meaning_TR","Meaning_AR","Meaning_SV","Meaning_NL","Meaning_PL","Meaning_NO","Meaning_HU","Meaning_HE","Meaning_RU","Meaning_LT"
"鏡","ありのままの姿を映し出し、真実を照らし出す清廉な心","A clean heart that reflects things as they are and illuminates the truth.","Corazón limpio que refleja la realidad y la verdad.","Un cœur pur reflétant la réalité et éclairant la vérité.","Ein reines Herz, das die Wahrheit widerspiegelt.","Un cuore puro che riflette la realtà e la verità.","Malinis na pusong sumasalamin sa katotohanan.","Um coração puro que reflete a realidade e a verdade.","Her şeyi olduğu gibi yansıtan, gerçeği aydınlatan kalp.","قلب نقي يعكس الأشياء كما هي وينير الحقيقة.","Ett rent hjärta som speglar sanningen.","Een zuiver hart dat de waarheid weerspiegelt.","Czyste serce odbijające rzeczywistość i prawdę.","Et rent hjerte som speiler sannheten.","Tiszta szív, amely megmutatja az igazságot.","לב נקי המשקף את הדברים ומאיר אמת.","Чистое сердце, отражающее мир и освещающее истину.","Tyra širdis, atspindinti tikrovę ir apšviečianti tiesą."
"雫","木々から滴る一滴の輝き、生命の潤いと純粋さの象徴","A single drop of radiance dripping from trees, a symbol of life's moisture and purity.","Una gota de resplandor, símbolo de pureza y vida.","Une goutte d'éclat tombant des arbres, symbole de pureté.","Ein Tropfen Licht von den Bäumen, Symbol der Reinheit.","Una goccia di splendore, simbolo di purezza e vita.","Isang patak ng kislap, simbolo ng kalinisan ng buhay.","Uma gota de resplandor, símbolo de pureza e vida.","Ağaçlardan süzülen bir parıltı damlası, saflık sembolü.","قطرة ضياء من الأشجار، رمز لنقاء الحياة.","En enda droppe utstrålning, en symbol för renhet.","Een druppel licht, symbool van zuiverheid.","Kropla blasku, symbol czystości życia.","En dråpe lys, symbol på renhet.","Egyetlen csillogó csepp, a tisztaság szimbóluma.","טיפה אחת של זוהר, סמל לטוהר החיים.","Капля сияния, падающая с ветвей, символ чистоты.","Žvilgantis lašas nuo medžių, tyrumo simbolis."
"宵","昼が終わり夜が始まる直前の、静かで神秘的な青い時間","The quiet and mysterious blue hour just after day ends and night begins.","La hora azul silenciosa y misteriosa tras el día.","L'heure bleue calme et mystérieuse entre jour et nuit.","Die stille und mystische blaue Stunde nach dem Tag.","L'ora blu silenziosa e misteriosa dopo il giorno.","Tahimik at misteryosong asul na oras bago ang gabi.","A hora azul silenciosa e misteriosa após o dia.","Günün bitip gecenin başladığı gizemli mavi vakit.","الساعة الزرقاء الهادئة بين النهار والليل.","Den tysta blå timmen innan natten börjar.","Het stille blauwe uur voor de nacht begint.","Cicha i tajemnicza błękitna godzina przed nocą.","Den stille blå timen før natten begynner.","A csendes kék óra a nappal és éjszaka között.","השעה הכחולה השקטה שלפני הלילה.","Тихий и таинственный синий час перед началом ночи.","Tyli ir paslaptinga mėlyna valanda prieš naktį."
"朧","月や景色が淡く霞み、幻想的で柔らかな情景を生む様","A state where the moon or scenery is faintly hazy, creating a dreamlike and soft atmosphere.","Paisaje brumoso que crea un ambiente onírico y suave.","Un état où la lune est voilée, ambiance douce.","Ein Zustand, in dem der Mond weich und verschwommen ist.","Lo stato in cui la luna appare brumosa e soffusa.","Kalagayang malabo ang buwan, parang panaginip.","Um estado de lua nebulosa, atmosfera suave.","Ayın puslu olduğu, rüya gibi ve yumuşak bir ortam.","حالة يكون فيها القمر ضبابياً وناعماً.","Ett tillstånd där månen är svagt disig och dromlik.","Een dromerige sfeer waarin de maan wazig is.","Stan, w którym księżyc jest mglisty i miękki.","En tilstand der månen er sløret og drømmeaktig.","Halványan ködös holdfény, álomszerű hangulat.","מצב בו הירח מעורפל ורך.","Мягкая дымка, обволакивающая луну и пейзаж.","Būsena, kai mėnulis pasidengia švelnia migla."
"翠","深い森の奥に宿る翡翠の輝き、瑞々しく美しい緑の象徴","The radiance of jade dwelling deep in the forest, a symbol of fresh and beautiful green.","Resplandor del jade, símbolo de un verde fresco.","L'éclat du jade au cœur de la forêt, vert magnifique.","Der Glanz von Jade im tiefen Wald, schönes Grün.","Lo splendore della giada nel bosco, verde bellissimo.","Kislap ng jade, simbolo ng sariwang berde.","O brilho do jade na floresta, verde lindo.","Ormanın derinliklerinde yeşim parıltısı, taze yeşil.","ألق الزمرد في أعماق الغابة، رمز للون الأخضر.","Jadens utstrålning, en symbol för frisk grönska.","De glans van jade, symbool van fris groen.","Blask jadeitu, symbol świeżej zieleni.","Glansen av jade, et symbol på frisk grønnfarge.","A jade ragyogása az erdőben, a friss zöld szimbóluma.","זוהר הירקן בלב היער, סמל לירוק רענן.","Сияние нефрита в глубине леса, символ живой зелени.","Jaspio spindesys miško gilumoje, žalumos simbolis."
"茜","夕暮れ時の空を赤く染め、温かさと郷愁を届ける光","The light that dyes the twilight sky red, delivering warmth and nostalgia.","Luz roja del atardecer que trae nostalgia.","La lumière rouge du crépuscule apportant la nostalgie.","Das rote Licht des Sonnenuntergangs, Wärme spendend.","La luce rossa del tramonto che porta nostalgia.","Pulang liwanag ng dapit-hapon na may dalang pangungulila.","A luz vermelha do pôr do sol que traz nostalgia.","Gün batımında gökyüzünü kızıla boyayan sıcak ışık.","ضوء الغروب الأحمر الذي يبعث على الحنين.","Det röda ljuset från solnedgången som ger nostalgi.","Het rode licht van de zonsondergang vol nostalgie.","Czerwone światło zmierzchu niosące ciepło.","Det røde lyset fra solnedgangen som gir nostalgi.","A naplemente vörös fénye, amely nosztalgiát hoz.","אור השקיעה האדום המביא חמימות וגעגוע.","Свет, красящий закатное небо в красный, даря тепло.","Saulėlydžio šviesa, nešanti šilumą ir nostalgiją."
"琥","太古の記憶を閉じ込めた琥珀のように、温かみのある輝き","A warm radiance like amber that has locked away ancient memories.","Brillo cálido como el ámbar con memorias antiguas.","Un éclat chaud comme l'ambre gardant les mémoires.","Ein warmer Glanz wie Bernstein, der Erinnerungen bewahrt.","Uno splendore caldo come l'ambra che conserva memorie.","Mainit na kislap tulad ng amber ng sinaunang alaala.","Um brilho quente como o ámbar que guarda memórias.","Kadim anıları saklayan kehribar gibi sıcak parıltı.","ألق دافئ مثل الكهرمان الذي يحفظ الذكريات.","En varm glans som bärnsten med gamla minnen.","Een warme glans als barnsteen vol herinneringen.","Ciepły blask niczym bursztyn z dawnymi wspomnianymi.","En varm glans som rav som bevarer minner.","Meleg ragyogás, mint az emlékeket őrző borostyán.","זוהר חם כמו ענבר הנוצר זיכרונות קדומים.","Тёплое сияние, подобное янтарю с памятью веков.","Šiltas spindesys kaip gintaras, saugantis atmintį."
"珀","宝石のような透明感を持ち、純粋で気高い意志を宿す","Possessing a jewel-like transparency and harboring a pure and noble will.","Transparencia de joya con una voluntad noble e pura.","Transparence précieuse abritant une volonté noble.","Juwelenhafte Transparenz mit edlem Willen.","Trasparenza preziosa con una volontà nobile.","Kalinigan ng perlas na may dakilang layunin.","Transparência de joia com uma vontade nobre.","Mücevher gibi şeffaflık ve asil bir irade.","شفافية الجواهر مع إرادة نقية ونبيلة.","Genomskinlighet som en ädelsten med en ädel vilja.","Transparantie als van een edelsteen met edele wil.","Przejrzystość klejnotu i szlachetna wola.","Gjennomsiktighet som en edelsten med en edel vilje.","Ékszerszerű áttetszőség és tiszta, nemes akarat.","שקיפות של אבן חן עם רצון נאצל וטהור.","Прозрачность драгоценного камня и благородная воля.","Skaidrumas kaip brangakmenio ir tauri valia."
"翡","美しい青緑の羽を持つ鳥のように、鮮やかで気品ある精神","A vivid and elegant spirit, like a bird with beautiful blue-green feathers.","Espíritu elegante como un pájaro de plumas azules.","Un esprit élégant tel un oiseau aux plumes bleu-vert.","Ein eleganter Geist wie ein Vogel mit blaugrünen Federn.","Uno spirito elegante come un uccello dalle piume blu.","Matingkad at eleganteng diwa tulad ng asul na ibon.","Um espírito elegante como um pássaro de penas azuis.","Mavi-yeşil tüylü bir kuş gibi canlı ve asil bir ruh.","روح أنيقة تشبه طائراً بريش أزرق وأخضر.","En levande ande som en fågel med blågröna fjädrar.","Een levendige geest als een vogel met prachtige veren.","Żywy i elegancki duch niczym ptak o barwnych piórach.","En levende ånd som en fugl med blågrønne fjer.","Élénk és elegáns szellem, mint a kék tollú madár.","רוח אלגנטית כציפור בעלת נוצות כחולות-ירוקות.","Яркий и благородный дух, подобный птице.","Gyva ir elegantiška dvasia kaip paukščio su plunksnomis."
"想","心の中に大切な情景を浮かべ、深く思いを馳せる力","The power to bring precious scenes to mind and reflect deeply on them.","Poder de evocar escenas queridas y reflexionar.","Le pouvoir d'évoquer des scènes chères au cœur.","Die Kraft, wertvolle Szenen im Geist vorzurufen.","Il potere di evocare scene care e riflettere profondamente.","Kapangyarihang gunitain ang mga mahalagang sandali.","O poder de evocar cenas queridas e refletir.","Değerli sahneleri akla getirme ve derin düşünme gücü.","قوة استحضار مشاهد عزيزة والتفكير فيها بعمق.","Kraften att framkalla dyrbara scener i sinnet.","De kracht om dierbare scènes in gedachten te roepen.","Moc przywoływania cennych obrazów w myślach.","Kraften til å fremkalle dyrebare scener i sinnet.","Az erő, amellyel kedves jeleneteket idézünk fel.","הכוח להעלות בזיכרון רגעים יקרים ולהרהר.","Сила воображения, воссоздающая дорогие образы.","Galia mintyse atgaivinti brangius vaizdus."
"祈","聖なる願いを天に届け、誰かの幸せを静かに願う心","A heart that delivers sacred wishes to heaven and quietly prays for someone's happiness.","Corazón que envía deseos sagrados al cielo por otros.","Un cœur confiant ses vœux sacrés au ciel pour autrui.","Ein Herz, das Gebete für das Glück anderer sendet.","Un cuore che invia desideri sacri al cielo.","Pusong naghahatid ng banal na dasal para sa iba.","Um coração que envia desejos sagrados ao céu.","Kutsal dilekleri göğe ileten ve huzur dileyen kalp.","قلب يرفع الأماني المقدسة إلى السماء من أجل الآخرين.","Ett hjärta som sänder heliga önskningar till himlen.","Een hart dat heilige wensen voor anderen doet.","Serce posyłające święte życzenia do nieba.","Et hjerte som sender hellige ønsker til himmelen.","A szív, amely szent kívánságokat küld az égbe másokért.","לב הנושא תפילות מקודשות למען אושרו של אחר.","Сердце, посылающее молитвы о благе других.","Širdis, siunčianti šventus troškimus į dangų už kitus."
